"Satisfacao","Genero","Tipo","Distancia","WiFi","Comida_Bebida","Limpeza"
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",84,2,2,2
"Satisfeito","Feminino","Cliente Fiel",1844,5,5,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",597,3,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",645,3,3,3
"Satisfeito","Masculino","Cliente Fiel",862,3,2,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",188,1,5,5
"Satisfeito","Masculino","Cliente Fiel",228,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",852,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1024,1,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",541,2,2,2
"Satisfeito","Feminino","Cliente Fiel",2661,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",455,2,2,2
"Satisfeito","Feminino","Cliente Fiel",606,5,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",903,3,1,1
"Satisfeito","Masculino","Cliente Fiel",2275,3,2,3
"Satisfeito","Feminino","Cliente Fiel",979,4,3,4
"Satisfeito","Feminino","Cliente Nao Fiel",1242,0,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3283,1,4,2
"Satisfeito","Masculino","Cliente Fiel",2148,5,3,5
"Satisfeito","Masculino","Cliente Fiel",2640,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",160,3,2,2
"Satisfeito","Feminino","Cliente Nao Fiel",110,5,5,5
"Satisfeito","Feminino","Cliente Fiel",2019,2,5,3
"Satisfeito","Feminino","Cliente Fiel",1007,4,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",533,1,1,1
"Satisfeito","Masculino","Cliente Fiel",3768,5,2,5
"Satisfeito","Masculino","Cliente Fiel",325,2,5,5
"Satisfeito","Masculino","Cliente Fiel",3662,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2454,2,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",557,2,3,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",849,2,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",258,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",647,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",895,2,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",599,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",990,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",888,3,5,5
"Satisfeito","Masculino","Cliente Fiel",997,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",647,4,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1916,1,3,3
"Satisfeito","Masculino","Cliente Fiel",156,5,5,5
"Satisfeito","Masculino","Cliente Fiel",612,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",328,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",450,2,2,2
"Satisfeito","Feminino","Cliente Fiel",3332,5,3,3
"Satisfeito","Masculino","Cliente Fiel",74,0,3,4
"Satisfeito","Feminino","Cliente Fiel",1946,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",692,2,2,2
"Satisfeito","Masculino","Cliente Fiel",2300,4,3,3
"Satisfeito","Masculino","Cliente Fiel",1034,4,5,5
"Satisfeito","Feminino","Cliente Fiel",674,3,3,3
"Satisfeito","Masculino","Cliente Fiel",3142,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",337,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",639,3,4,4
"Satisfeito","Masculino","Cliente Fiel",606,1,3,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1080,4,3,3
"Satisfeito","Masculino","Cliente Fiel",1017,4,2,2
"Satisfeito","Masculino","Cliente Nao Fiel",852,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",870,3,2,1
"Satisfeito","Masculino","Cliente Nao Fiel",214,3,4,4
"Satisfeito","Masculino","Cliente Fiel",212,2,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",3269,3,2,4
"Satisfeito","Feminino","Cliente Fiel",2253,2,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",73,3,4,4
"Satisfeito","Feminino","Cliente Fiel",1346,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",342,2,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",874,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",86,2,1,1
"Satisfeito","Feminino","Cliente Fiel",3877,2,1,4
"Satisfeito","Masculino","Cliente Fiel",453,3,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",569,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",160,3,1,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1024,1,4,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",404,3,5,5
"Satisfeito","Feminino","Cliente Fiel",1728,3,2,4
"Satisfeito","Masculino","Cliente Fiel",3727,1,3,5
"Satisfeito","Feminino","Cliente Fiel",270,0,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",489,4,5,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",990,4,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",533,2,1,2
"Satisfeito","Feminino","Cliente Fiel",1379,5,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1041,3,2,2
"Satisfeito","Masculino","Cliente Fiel",464,3,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",223,4,5,5
"Satisfeito","Feminino","Cliente Fiel",2280,5,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1013,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",2419,3,3,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",325,2,3,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",261,2,4,4
"Satisfeito","Masculino","Cliente Fiel",421,5,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",177,2,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",484,1,1,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2565,2,2,2
"Satisfeito","Masculino","Cliente Fiel",403,3,2,4
"Satisfeito","Masculino","Cliente Fiel",328,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",2704,4,4,4
"Satisfeito","Masculino","Cliente Nao Fiel",562,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",407,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",602,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",265,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",332,4,4,4
"Satisfeito","Feminino","Cliente Nao Fiel",621,5,2,2
"Satisfeito","Feminino","Cliente Fiel",1873,1,3,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",391,3,4,4
"Satisfeito","Feminino","Cliente Fiel",1590,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",262,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3563,2,2,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",306,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1960,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",667,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",859,1,4,4
"Satisfeito","Masculino","Cliente Fiel",352,2,5,5
"Satisfeito","Feminino","Cliente Fiel",853,1,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1474,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",524,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2253,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",277,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1900,2,1,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",3722,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",260,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",283,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1005,3,4,4
"Satisfeito","Masculino","Cliente Fiel",2050,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1891,4,4,4
"Satisfeito","Feminino","Cliente Fiel",1337,4,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",436,3,3,3
"Satisfeito","Masculino","Cliente Fiel",859,4,5,4
"Satisfeito","Masculino","Cliente Fiel",2563,5,4,5
"Satisfeito","Feminino","Cliente Fiel",1874,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",430,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1387,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2454,4,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",308,1,5,5
"Satisfeito","Masculino","Cliente Fiel",2010,3,4,4
"Satisfeito","Masculino","Cliente Fiel",2618,3,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",201,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1145,3,3,3
"Satisfeito","Feminino","Cliente Fiel",496,4,2,3
"Satisfeito","Masculino","Cliente Fiel",452,3,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",861,3,4,3
"Satisfeito","Feminino","Cliente Fiel",3140,3,3,3
"Satisfeito","Feminino","Cliente Fiel",1642,2,4,4
"Satisfeito","Feminino","Cliente Fiel",765,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",106,1,1,1
"Satisfeito","Feminino","Cliente Fiel",2973,4,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",226,3,1,3
"Satisfeito","Feminino","Cliente Fiel",481,4,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",280,2,4,2
"Satisfeito","Masculino","Cliente Nao Fiel",1744,5,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",868,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",259,4,5,2
"Satisfeito","Masculino","Cliente Fiel",515,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1448,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",563,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",722,2,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",416,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1068,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",255,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1937,2,2,2
"Satisfeito","Feminino","Cliente Fiel",2286,1,1,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2747,2,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1995,2,2,2
"Satisfeito","Feminino","Cliente Fiel",2083,2,2,3
"Satisfeito","Masculino","Cliente Fiel",1121,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1076,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",811,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",452,1,4,4
"Satisfeito","Feminino","Cliente Fiel",2250,0,1,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",346,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",227,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",986,2,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",874,2,5,5
"Satisfeito","Feminino","Cliente Fiel",986,0,2,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",817,3,3,3
"Satisfeito","Masculino","Cliente Fiel",1972,3,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3417,2,2,4
"Satisfeito","Masculino","Cliente Fiel",2387,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",412,3,5,5
"Satisfeito","Feminino","Cliente Fiel",3114,1,5,4
"Satisfeito","Masculino","Cliente Fiel",1990,2,3,5
"Satisfeito","Feminino","Cliente Fiel",761,1,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2954,3,5,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",404,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",546,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1023,2,4,4
"Satisfeito","Feminino","Cliente Nao Fiel",404,5,2,2
"Satisfeito","Masculino","Cliente Fiel",2236,2,2,4
"Satisfeito","Feminino","Cliente Nao Fiel",341,0,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",414,2,2,2
"Satisfeito","Feminino","Cliente Nao Fiel",728,5,4,4
"Satisfeito","Masculino","Cliente Nao Fiel",646,5,2,2
"Satisfeito","Masculino","Cliente Fiel",2704,5,3,3
"Satisfeito","Masculino","Cliente Fiel",425,1,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1773,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",270,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",765,3,3,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",196,4,4,4
"Satisfeito","Feminino","Cliente Fiel",3827,3,2,4
"Satisfeito","Feminino","Cliente Fiel",534,5,5,3
"Satisfeito","Masculino","Cliente Fiel",1521,3,5,5
"Satisfeito","Feminino","Cliente Fiel",1411,4,5,5
"Satisfeito","Feminino","Cliente Fiel",247,2,3,4
"Satisfeito","Masculino","Cliente Fiel",236,2,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",746,2,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1995,3,4,4
"Satisfeito","Feminino","Cliente Fiel",3145,3,5,2
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",495,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",787,1,1,1
"Satisfeito","Feminino","Cliente Fiel",399,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",247,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2136,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",745,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",503,3,5,5
"Satisfeito","Masculino","Cliente Fiel",2313,3,2,4
"Satisfeito","Feminino","Cliente Fiel",2614,1,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1749,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1487,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",867,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1145,1,1,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2123,2,1,3
"Satisfeito","Masculino","Cliente Fiel",1517,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2586,3,4,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",674,3,3,3
"Satisfeito","Feminino","Cliente Fiel",1399,5,5,5
"Satisfeito","Masculino","Cliente Fiel",337,3,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",787,1,1,1
"Satisfeito","Feminino","Cliente Fiel",160,4,5,4
"Satisfeito","Feminino","Cliente Fiel",991,2,5,3
"Satisfeito","Feminino","Cliente Nao Fiel",516,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",223,3,4,4
"Satisfeito","Feminino","Cliente Fiel",2883,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",345,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",442,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",919,2,1,1
"Satisfeito","Feminino","Cliente Fiel",3043,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1368,1,3,3
"Satisfeito","Feminino","Cliente Fiel",594,2,5,3
"Satisfeito","Feminino","Cliente Fiel",2562,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",404,4,5,5
"Satisfeito","Masculino","Cliente Fiel",3576,4,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",834,4,4,4
"Satisfeito","Masculino","Cliente Fiel",1192,2,5,3
"Satisfeito","Feminino","Cliente Fiel",447,2,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",77,1,2,2
"Satisfeito","Masculino","Cliente Fiel",1750,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",630,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",986,1,2,2
"Satisfeito","Masculino","Cliente Fiel",3257,4,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2772,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",453,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3838,3,1,3
"Satisfeito","Masculino","Cliente Fiel",1615,1,3,3
"Satisfeito","Feminino","Cliente Fiel",226,0,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",957,1,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1721,2,2,4
"Satisfeito","Masculino","Cliente Fiel",1390,4,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",491,2,1,1
"Satisfeito","Feminino","Cliente Fiel",2295,1,4,4
"Satisfeito","Masculino","Cliente Fiel",2682,3,2,3
"Satisfeito","Feminino","Cliente Fiel",986,1,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",2342,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",451,3,2,2
"Satisfeito","Masculino","Cliente Fiel",1836,5,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1195,2,2,2
"Satisfeito","Masculino","Cliente Nao Fiel",287,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",829,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3926,3,3,3
"Satisfeito","Feminino","Cliente Fiel",2253,5,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",900,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",337,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",528,3,1,1
"Satisfeito","Feminino","Cliente Fiel",1612,4,4,3
"Satisfeito","Feminino","Cliente Nao Fiel",554,4,5,5
"Satisfeito","Masculino","Cliente Fiel",564,5,5,5
"Satisfeito","Feminino","Cliente Fiel",1448,1,1,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1010,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1102,4,1,1
"Satisfeito","Feminino","Cliente Fiel",125,5,3,2
"Satisfeito","Feminino","Cliente Fiel",2105,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1674,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",2565,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",946,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3314,4,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",515,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",725,3,1,1
"Satisfeito","Masculino","Cliente Fiel",1656,0,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3879,2,5,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1389,3,2,2
"Satisfeito","Feminino","Cliente Nao Fiel",1333,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1055,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",271,4,1,1
"Satisfeito","Masculino","Cliente Fiel",1711,3,1,3
"Satisfeito","Feminino","Cliente Fiel",1590,2,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",704,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2106,4,2,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",950,4,3,3
"Satisfeito","Feminino","Cliente Fiel",2995,2,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2282,3,3,3
"Satisfeito","Feminino","Cliente Fiel",1189,5,1,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",153,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1062,4,1,1
"Satisfeito","Feminino","Cliente Fiel",462,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",802,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",600,2,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",421,4,5,4
"Satisfeito","Feminino","Cliente Fiel",479,4,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2139,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",404,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",209,2,2,2
"Satisfeito","Feminino","Cliente Fiel",2669,3,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",354,1,1,1
"Satisfeito","Masculino","Cliente Fiel",248,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",377,4,1,1
"Satisfeito","Masculino","Cliente Fiel",589,5,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",191,3,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3248,1,5,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",964,3,4,4
"Satisfeito","Masculino","Cliente Fiel",2358,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",775,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",528,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2454,1,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",851,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",997,2,4,2
"Satisfeito","Feminino","Cliente Fiel",759,2,5,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",155,2,1,1
"Satisfeito","Masculino","Cliente Fiel",2434,5,4,4
